pelicula,fecha_estreno,tipo_estreno,duracion,genero,director,calf_medios,calf_usuarios,calf_sensacine,nacionalidad,distribuidora,fecha_produccion,presupuesto,idioma
"Three Billboards Outside Ebbing, Missouri",2018-01-12,Cines,1h 56min,Crimen,Martin McDonagh,3.9,4.2,4.0, Gran Bretaña, Twentieth Century Studios España ,2017-01-01,0,Inglés
"Three Billboards Outside Ebbing, Missouri",2018-01-12,Cines,1h 56min,Drama,Martin McDonagh,3.9,4.2,4.0, Gran Bretaña, Twentieth Century Studios España ,2017-01-01,0,Inglés
Five Nights At Freddy's,2023-11-01,Cines,1h 50min,Terror,Emma Tammi,2.5,4.2,, EE.UU., Universal Pictures International Spain ,2023-01-01,0,Inglés
Casablanca,1946-12-19,Cines,1h 42min,Drama,Michael Curtiz,4.8,4.2,, EE.UU.,,1942-01-01,950000,Inglés
Casablanca,1946-12-19,Cines,1h 42min,Romántico,Michael Curtiz,4.8,4.2,, EE.UU.,,1942-01-01,950000,Inglés
Harry Potter and the Half-Blood Prince,2009-07-15,Cines,2h 33min,Aventura,David Yates,2.0,4.2,3.0, EE.UU., Warner Bros Pictures España ,2009-01-01,250000000,Inglés
Harry Potter and the Half-Blood Prince,2009-07-15,Cines,2h 33min,Fantasía,David Yates,2.0,4.2,3.0, EE.UU., Warner Bros Pictures España ,2009-01-01,250000000,Inglés
Coraline,2009-06-05,Cines,1h 40min,Animación,Henry Selick,4.3,4.2,4.5, EE.UU., Universal Pictures International Spain ,2009-01-01,60000000,Inglés
Coraline,2009-06-05,Cines,1h 40min,Familia,Henry Selick,4.3,4.2,4.5, EE.UU., Universal Pictures International Spain ,2009-01-01,60000000,Inglés
Coraline,2009-06-05,Cines,1h 40min,Fantasía,Henry Selick,4.3,4.2,4.5, EE.UU., Universal Pictures International Spain ,2009-01-01,60000000,Inglés
Requiem for a Dream,2001-03-23,Cines,1h 42min,Drama,Darren Aronofsky,4.5,4.2,4.0, EE.UU., Lauren Film ,2000-01-01,4500000,Inglés
As Good As It Gets,1998-02-27,Cines,2h 18min,Comedia dramática,James L. Brooks,3.3,4.2,3.0, EE.UU., Sony Pictures Releasing de España ,1997-01-01,50000000,Inglés
As Good As It Gets,1998-02-27,Cines,2h 18min,Romántico,James L. Brooks,3.3,4.2,3.0, EE.UU., Sony Pictures Releasing de España ,1997-01-01,50000000,Inglés
